['181', ['non-infectious pneumonitis']]
['11962', ['stomatitis']]
['11977', ['diarrhea']]
['12052', ['decreased hemoglobin']]
['12074', ['hyperglycemia']]
['12089', ['alkaline phosphatase increased']]
['12121', ['hypercholesterolemia']]
['12143', ['bicarbonate decreased']]
['12170', ['increased aspartate transaminase']]
['12170,12204', ['increased ast']]
['12226', ['grade 3']]
['12226', ['grade 3-4']]
['12226,12234', ['grade 4']]
['12284', ['hyperglycemia']]
['12299', ['lymphopenia']]
['12312', ['decreased hemoglobin']]
['12334', ['hypophosphatemia']]
['12352', ['increased alkaline phosphatase']]
['12384', ['neutropenia']]
['12397', ['increased aspartate transaminase']]
['12397,12431', ['increased ast']]
['12437', ['potassium decreased']]
['12462', ['thrombocytopenia']]
['12481', ['deaths']]
['12640', ['death']]
['12710', ['acute renal failure']]
['12731', ['acute respiratory distress']]
['12759', ['cardiac arrest']]
['12775', ['death']]
['12798', ['hepatic failure']]
['12815', ['pneumonia']]
['12830', ['sepsis']]
['12852', ['death']]
['12865', ['pulmonary embolism']]
['12891', ['placebo']]
['12973', ['deaths']]
['12992', ['hypoglycemia']]
['13009', ['cardiac arrest']]
['13065', ['myocardial infarction']]
['13092', ['congestive heart failure']]
['13139', ['sudden death']]
['13413', ['grade 3']]
['13413,13421', ['grade 4']]
['13423', ['renal failure']]
['13523', ['thrombotic events']]
['13569', ['pulmonary embolus']]
['13667', ['thrombosis']]
['14036', ['stomatitis']]
['14048', ['aphthous stomatitis']]
['14069', ['gingival pain']]
['14069,14083', ['gingival swelling']]
['14069,14092', ['gingival ulceration']]
['14104', ['glossitis']]
['14115', ['glossodynia']]
['14128', ['lip ulceration']]
['14144', ['mouth ulceration']]
['14162', ['tongue ulceration']]
['14185', ['mucosal inflammation']]
['14221', ['diarrhea']]
['14231', ['enteritis']]
['14242', ['enterocolitis']]
['14257', ['colitis']]
['14266', ['defecation urgency']]
['14290', ['steatorrhea']]
['14316', ['pneumonitis']]
['14329', ['interstitial lung disease']]
['14356', ['pulmonary fibrosis']]
['14379', ['restrictive pulmonary disease']]
['14898', ['stomatitis']]
['15026', ['diarrhea']]
['15152', ['abdominal pain']]
['15279', ['nausea']]
['15401', ['vomiting']]
['15523', ['constipation']]
['15648', ['dry mouth']]
['15831', ['fatigue']]
['15839', ['malaise']]
['15959,15966', ['edema general']]
['15959,15978', ['edema peripheral']]
['16102', ['fever']]
['16224', ['asthenia']]
['16383', ['nasopharyngitis']]
['16399', ['rhinitis']]
['16408', ['uri']]
['16524', ['urinary tract infection']]
['16683', ['weight decreased']]
['16855', ['decreased appetite']]
['16986', ['diabetes mellitus']]
['17172', ['arthralgia']]
['17295', ['back pain']]
['17417', ['pain in extremity']]
['17547', ['muscle spasms']]
['17706', ['headache']]
['17715', ['migraine']]
['17836', ['dysgeusia']]
['17958', ['dizziness']]
['18110', ['insomnia']]
['18288', ['cough']]
['18294', ['productive cough']]
['18423', ['epistaxis']]
['18545', ['dyspnea']]
['18553', ['dyspnea exertional']]
['18684', ['pneumonitis']]
['18813', ['oropharyngeal pain']]
['18984', ['rash']]
['19106', ['nail disorders']]
['19233', ['pruritus']]
['19242', ['pruritus generalized']]
['19375', ['dry skin']]
['19384', ['xeroderma']]
['19533', ['hypertension']]
['19781', ['irregular menstruation']]
['20459', ['hemoglobin decreased']]
['20558', ['lymphocytes decreased']]
['20658', ['platelets decreased']]
['20756', ['wbc decreased']]
['20848', ['neutrophils decreased']]
['21135', ['alkaline phosphatase increased']]
['21244', ['glucose (fasting) increased']]
['21350', ['cholesterol increased']]
['21450', ['bicarbonate decreased']]
['21550,21579', ['aspartate transaminase increased']]
['21574,21579', ['ast increased']]
['21667,21694', ['alanine transaminase increased']]
['21689,21694', ['alt increased']]
['21782', ['phosphate decreased']]
['21880', ['triglycerides increased']]
['21982', ['calcium decreased']]
['22078', ['potassium decreased']]
['22176', ['creatinine increased']]
['22275', ['sodium decreased']]
['22370', ['albumin decreased']]
['22466', ['bilirubin increased']]
['22564', ['potassium increased']]
['23294', ['stomatitis']]
['23306', ['infections']]
['23318', ['asthenia']]
['23328', ['fatigue']]
['23337', ['cough']]
['23348', ['diarrhea']]
['23374', ['grade 3']]
['23374', ['grade 3-4']]
['23374,23382', ['grade 4']]
['23425', ['infections']]
['23437', ['dyspnea']]
['23446', ['fatigue']]
['23455', ['stomatitis']]
['23467', ['dehydration']]
['23480', ['pneumonitis']]
['23493', ['abdominal pain']]
['23513', ['asthenia']]
['23588', ['anemia']]
['23596', ['hypercholesterolemia']]
['23640', ['hyperglycemia']]
['23655', ['lymphopenia']]
['23672', ['increased creatinine']]
['23710', ['grade 3']]
['23710', ['grade 3-4']]
['23710,23718', ['grade 4']]
['23768', ['lymphopenia']]
['23781', ['hyperglycemia']]
['23796', ['anemia']]
['23804', ['hypophosphatemia']]
['23826', ['hypercholesterolemia']]
['23848', ['deaths']]
['23862', ['acute respiratory failure']]
['23896', ['infection']]
['23918', ['acute renal failure']]
['24303', ['pneumonitis']]
['24319', ['dyspnea']]
['24328', ['infections']]
['24340', ['stomatitis']]
['24356', ['pneumonitis']]
['24518', ['infections']]
['24530', ['anemia']]
['24542', ['stomatitis']]
['25022', ['stomatitis']]
['25044', ['aphthous stomatitis']]
['25070,25087', ['mouth ulceration']]
['25080', ['tongue ulceration']]
['25215', ['nasopharyngitis']]
['25237', ['pneumonia']]
['25253', ['urinary tract infection']]
['25283', ['bronchitis']]
['25304', ['sinusitis']]
['25339', ['aspergillosis']]
['25360', ['candidiasis']]
['25383', ['sepsis']]
['25410', ['pneumonitis']]
['25423', ['interstitial lung disease']]
['25450', ['lung infiltration']]
['25469', ['pulmonary alveolar hemorrhage']]
['25500', ['pulmonary toxicity']]
['25524', ['alveolitis']]
['26058', ['stomatitis']]
['26186', ['diarrhea']]
['26308', ['nausea']]
['26430', ['vomiting']]
['26795', ['asthenia']]
['26917', ['fatigue']]
['27039', ['edema peripheral']]
['27168', ['pyrexia']]
['27290', ['mucosal inflammation']]
['27500', ['cough']]
['27622', ['dyspnea']]
['27744', ['epistaxis']]
['27866', ['pneumonitis']]
['28063', ['rash']]
['28185', ['pruritus']]
['28307', ['dry skin']]
['28486', ['anorexia']]
['28655', ['headache']]
['28777', ['dysgeusia']]
['28976', ['pain in extremity']]
['29374', ['abdominal pain']]
['29395', ['dry mouth']]
['29411', ['hemorrhoids']]
['29429', ['dysphagia']]
['29508', ['weight decreased']]
['29531', ['chest pain']]
['29548', ['chills']]
['29561', ['impaired wound healing']]
['29650', ['pleural effusion']]
['29673', ['pharyngolaryngeal pain']]
['29702', ['rhinorrhea']]
['29768', ['hand-foot syndrome']]
['29800', ['palmar-plantar erythrodysesthesia syndrome']]
['29850', ['nail disorder']]
['29870', ['erythema']]
['29885', ['onychoclasis']]
['29904', ['skin lesion']]
['29922', ['acneiform dermatitis']]
['29949', ['angioedema']]
['30012,30041', ['exacerbation diabetes mellitus']]
['30065', ['new onset of diabetes mellitus']]
['30136', ['insomnia']]
['30186', ['dizziness']]
['30202', ['paresthesia']]
['30244', ['eyelid edema']]
['30263', ['conjunctivitis']]
['30313', ['hypertension']]
['30332', ['deep vein thrombosis']]
['30399', ['renal failure']]
['30447', ['tachycardia']]
['30465', ['congestive cardiac failure']]
['30556', ['jaw pain']]
['30603', ['hemorrhage']]
['30909', ['anemia']]
['30917', ['leukopenia']]
['30929', ['lymphopenia']]
['30942', ['neutropenia']]
['30959', ['thrombocytopenia']]
['30990', ['pancytopenia']]
['31521', ['hemoglobin decreased']]
['31654', ['lymphocytes decreased']]
['31788', ['platelets decreased']]
['31920', ['neutrophils decreased']]
['32190', ['cholesterol increased']]
['32324', ['triglycerides increased']]
['32460', ['glucose increased']]
['32590', ['creatinine increased']]
['32723', ['phosphate decreased']]
['32855,32884', ['aspartate transaminase increased']]
['32879,32884', ['ast increased']]
['33006,33033', ['alanine transaminase increased']]
['33028,33033', ['alt increased']]
['33155', ['bilirubin increased']]
['33976', ['stomatitis']]
['34055', ['stomatitis']]
['34070', ['amenorrhea']]
['34147', ['hypercholesterolemia']]
['34169', ['hypertriglyceridemia']]
['34195', ['anemia']]
['34274', ['hypophosphatemia']]
['34488', ['hypersensitivity']]
['34505', ['angioedema']]
['34516', ['bronchospasm']]
['34530', ['convulsion']]
['34546', ['hypophosphatemia']]
['34755', ['stomatitis']]
['35176', ['stomatitis']]
['35188', ['aphthous stomatitis']]
['35209', ['mouth ulceration']]
['35227', ['gingival pain']]
['35242', ['glossitis']]
['35257', ['glossodynia']]
['35758', ['stomatitis']]
['35886', ['vomiting']]
['36008', ['diarrhea']]
['36293', ['peripheral edema']]
['36560', ['upper respiratory tract infection']]
['36864', ['arthralgia']]
['37145', ['cough']]
['37416', ['acne']]
['37544', ['amenorrhea']]
['37729', ['menorrhagia']]
['37748', ['menstrual irregularities']]
['37784', ['vaginal hemorrhage']]
['37913', ['epistaxis']]
['37929', ['decreased appetite']]
['37954', ['otitis media']]
['37973', ['depression']]
['37990', ['abnormal taste']]
['38011,38052', ['increased blood luteinizing hormone levels']]
['38011,38048,38052', ['increased blood lh levels']]
['38065,38116', ['increased blood follicle stimulating hormone levels']]
['38065,38111,38116', ['increased blood fsh levels']]
['38129', ['hypersensitivity']]
['38152', ['ovarian cyst']]
['38171', ['pneumonitis']]
['38193', ['angioedema']]
['38821', ['leucopenia']]
['38944', ['neutropenia']]
['39068', ['lymphopenia']]
['39192', ['thrombocytopenia']]
['39572', ['hypercholesterolemia']]
['39705', ['hypertriglyceridemia']]
['39838', ['hypophosphatemia']]
['39967', ['alkaline phosphatase increased']]
['40110', ['elevated aspartate transaminase']]
['40110,40143', ['elevated ast']]
['40260', ['elevated alanine transaminase']]
['40260,40291', ['elevated alt']]
['40408', ['fasting hyperglycemia']]
['41248', ['stomatitis']]
['41263', ['respiratory tract infection']]
['41308', ['grade 3']]
['41308', ['grade 3-4']]
['41308,41316', ['grade 4']]
['41359', ['stomatitis']]
['41371', ['pyrexia']]
['41380', ['pneumonia']]
['41391', ['gastroenteritis']]
['41408', ['aggression']]
['41420', ['agitation']]
['41435', ['amenorrhea']]
['41516', ['hypercholesterolemia']]
['41541', ['elevated partial thromboplastin time']]
['41595', ['grade 3']]
['41595', ['grade 3-4']]
['41595,41603', ['grade 4']]
['41650', ['neutropenia']]
['41930', ['stomatitis']]
['42348', ['mouth ulceration']]
['42366', ['stomatitis']]
['42382', ['lip ulceration']]
['42410', ['respiratory tract infection']]
['42439', ['upper respiratory tract infection']]
['42478', ['respiratory tract infection viral']]
['42525', ['gastroenteritis']]
['42542', ['gastroenteritis viral']]
['42569', ['gastrointestinal infection']]
['42609', ['agitation']]
['42620', ['anxiety']]
['42629', ['panic attack']]
['42643', ['aggression']]
['42655', ['abnormal behavior']]
['42678', ['obsessive compulsive disorder']]
['42721', ['rash']]
['42727', ['rash generalized']]
['42745', ['rash macular']]
['42759', ['rash maculo-papular']]
['42780', ['rash papular']]
['42794', ['dermatitis allergic']]
['42819', ['urticaria']]
['43307', ['stomatitis']]
['43435', ['vomiting']]
['43557', ['diarrhea']]
['43679', ['constipation']]
['43942', ['respiratory tract infection']]
['44087', ['gastroenteritis']]
['44521', ['pyrexia']]
['44643', ['fatigue']]
['44897', ['anxiety']]
['44906', ['aggression']]
['44926', ['behavioral disturbance']]
['45215', ['rash']]
['45337', ['acne']]
['45465', ['amenorrhea']]
['45659', ['menstrual abnormalities']]
['45698', ['dysmenorrhea']]
['45717', ['menorrhagia']]
['45735', ['metrorrhagia']]
['45758', ['unspecified menstrual irregularity']]
['45902', ['nausea']]
['45915', ['pain in extremity']]
['45939', ['insomnia']]
['45954', ['pneumonia']]
['45970', ['epistaxis']]
['45986', ['hypersensitivity']]
['46009,46050', ['increased blood luteinizing hormone levels']]
['46009,46046,46050', ['increased blood lh levels']]
['46066', ['pneumonitis']]
['46559', ['elevated partial thromboplastin time']]
['46708', ['neutropenia']]
['46832', ['anemia']]
['47083', ['hypercholesterolemia']]
['47216', ['elevated aspartate transaminase']]
['47216,47249', ['elevated ast']]
['47366', ['hypertriglyceridemia']]
['47499', ['elevated alanine transaminase']]
['47499,47530', ['elevated alt']]
['47647', ['hypophosphatemia']]
['47995', ['cellulitis']]
['48013', ['hyperglycemia']]
['48038', ['elevated creatinine']]
['48394', ['acute pancreatitis']]
['48414', ['cholecystitis']]
['48429', ['cholelithiasis']]
['48445', ['arterial thrombotic events']]
['48476', ['reflex sympathetic dystrophy']]
['56', ['non-infectious pneumonitis']]
['139', ['fatal']]
['286', ['infections']]
['308', ['risk']]
['316', ['infections']]
['333', ['fatal']]
['407', ['angioedema']]
['525', ['oral ulceration']]
['542', ['mouth ulcers']]
['556', ['stomatitis']]
['572', ['oral mucositis']]
['670', ['renal failure']]
['694', ['renal failure']]
['719', ['acute renal failure']]
['753', ['fatal']]
['803', ['impaired wound healing']]
['837', ['risk']]
['845', ['wound-related complications']]
['992', ['elevations of serum creatinine']]
['992,1024', ['elevations urinary protein']]
['992,1041', ['elevations blood glucose']]
['992,1060', ['elevations lipids']]
['1078', ['decreases in hemoglobin']]
['1078,1103', ['decreases in neutrophils']]
['1078,1120', ['decreases in platelets']]
['1130', ['may']]
['1395', ['embryo-fetal toxicity']]
['1418', ['fetal harm']]
['1429', ['can']]
['1595', ['non-infectious pneumonitis']]
['1686', ['non-infectious pneumonitis']]
['1844', ['grade 3']]
['1844,1856', ['grade 4']]
['1858', ['non-infectious pneumonitis']]
['1858', ['non-infectious pneumonitis']]
['1983', ['fatal']]
['2022', ['consider']]
['2871', ['indicated']]
['3720', ['pneumonitis']]
['3851', ['may']]
['3878,3917', ['bacterial infections']]
['3889,3917', ['fungal infections']]
['3897,3917', ['viral infections']]
['3907', ['protozoal infections']]
['3939', ['infections with opportunistic pathogens']]
['4077', ['pneumonia']]
['4088', ['mycobacterial infections']]
['4120', ['bacterial infections']]
['4142', ['invasive fungal infections']]
['4178', ['aspergillosis']]
['4193', ['candidiasis']]
['4209', ['pneumocystis jiroveci pneumonia']]
['4242', ['pjp']]
['4251', ['viral infections']]
['4278', ['reactivation of hepatitis b virus']]
['4369', ['infections']]
['4390', ['severe']]
['4415', ['sepsis']]
['4423,4446', ['respiratory failure']]
['4438', ['hepatic failure']]
['4458', ['fatal']]
['5005', ['pneumocystis jiroveci pneumonia']]
['5050', ['fatal']]
['5520', ['risk']]
['5529', ['angioedema']]
['5547', ['swelling of the airways']]
['5547,5574', ['swelling of the tongue']]
['5598', ['respiratory impairment']]
['5714', ['angioedema']]
['5883', ['mouth ulcers']]
['5897', ['stomatitis']]
['5913', ['oral mucositis']]
['6051', ['grade 3']]
['6051,6062', ['grade 4']]
['6064', ['stomatitis']]
['6501', ['renal failure']]
['6526', ['acute renal failure']]
['6560', ['fatal']]
['6729', ['delays wound healing']]
['6782', ['wound-related complications']]
['6815', ['wound dehiscence']]
['6833', ['wound infection']]
['6850', ['incisional hernia']]
['6869', ['lymphocele']]
['6885', ['seroma']]
['7178', ['deaths']]
['7726', ['elevations of serum creatinine']]
['7761', ['proteinuria']]
['8256', ['hyperglycemia']]
['8271', ['hyperlipidemia']]
['8291', ['hypertriglyceridemia']]
['8866', ['decreased hemoglobin']]
['8866,8888', ['decreased lymphocytes']]
['8866,8901', ['decreased neutrophils']]
['8866,8918', ['decreased platelets']]
['9848', ['hepatic impairment']]
['10008', ['severe']]
['10015', ['hepatic impairment']]
['11438', ['can']]
['11448', ['fetal harm']]
['11478', ['embryo-fetal toxicities']]
['11505', ['animals']]
