['151', ['suicidal behavior']]
['264', ['angioedema']]
['371', ['hyponatremia']]
['490', ['neurological adverse reactions']]
['858', ['drug induced liver injury']]
['1092', ['risk']]
['1100', ['suicidal thoughts']]
['1100,1121', ['suicidal behavior']]
['1645', ['suicidal thinking']]
['1645,1666', ['suicidal behavior']]
['1814', ['suicidal behavior']]
['1814,1835', ['suicidal ideation']]
['2000', ['suicidal thinking']]
['2000,2021', ['suicidal behavior']]
['2078', ['suicides']]
['2172', ['number of events is too small to allow any conclusion']]
['2247', ['suicide']]
['2274', ['risk']]
['2282', ['suicidal thoughts']]
['2282,2303', ['suicidal behavior']]
['2526', ['risk']]
['2534', ['suicidal thoughts']]
['2534,2555', ['suicidal behavior']]
['2611', ['risk']]
['2619', ['suicidal thoughts']]
['2619,2640', ['suicidal behavior']]
['3071', ['risk']]
['3079', ['suicidal thoughts']]
['3079,3100', ['suicidal behaviors']]
['3932', ['suicidal thoughts']]
['3932,3953', ['suicidal behavior']]
['4323', ['illnesses for which aeds are prescribed']]
['4394', ['morbidity']]
['4408', ['mortality']]
['4443', ['suicidal thoughts']]
['4443,4465', ['suicidal behavior']]
['5172', ['dermatologic reactions']]
['5205', ['stevens-johnson syndrome']]
['5231', ['sjs']]
['5287', ['serious']]
['5309', ['fatal']]
['5315', ['dermatologic reactions']]
['5349', ['toxic epidermal necrolysis']]
['5377', ['ten']]
['5386', ['sjs']]
['5428', ['oxcarbazepine']]
['5681', ['serious']]
['5689', ['dermatologic reactions']]
['5733', ['not']]
['6153', ['drug reaction with eosinophilia and systemic symptoms']]
['6208', ['dress']]
['6230', ['multiorgan hypersensitivity']]
['6304', ['dress']]
['6304', ['dress']]
['6317', ['fatal']]
['6326', ['life-threatening']]
['6344', ['dress']]
['6401', ['fever']]
['6408', ['rash']]
['6421', ['lymphadenopathy']]
['6498', ['hepatitis']]
['6509', ['nephritis']]
['6520', ['hematological abnormalities']]
['6549', ['myocarditis']]
['6565', ['myositis']]
['6621', ['eosinophilia']]
['6810', ['hypersensitivity']]
['6836', ['fever']]
['6845', ['lymphadenopathy']]
['6889', ['rash']]
['6897', ['not evident']]
['7329', ['anaphylaxis']]
['7345', ['angioedema']]
['7402', ['anaphylaxis']]
['7418', ['angioedema']]
['7445', ['laryngeal edema']]
['7461', ['can']]
['7468', ['fatal']]
['7788', ['hyponatremia']]
['8219', ['decreases in sodium values']]
['8259', ['10 meq/l']]
['8399', ['life-threatening']]
['8467', ['hyponatremia']]
['8467', ['hyponatremia']]
['8491', ['112 meq/l']]
['8512', ['seizures']]
['8522', ['severe']]
['8529', ['nausea']]
['8536', ['vomiting']]
['8556', ['dehydration']]
['8569', ['severe']]
['8576', ['gait instability']]
['8598', ['injury']]
['8687', ['hypochloremia']]
['8735', ['hyponatremia']]
['8851', ['hyponatremia']]
['9513', ['dizziness']]
['9527', ['disturbance in gait']]
['9527,9551', ['disturbance in coordination']]
['9565', ['dizziness']]
['9576', ['ataxia']]
['9584', ['vertigo']]
['9593', ['balance disorder']]
['9611', ['gait disturbance']]
['9629', ['nystagmus']]
['9644', ['abnormal coordination']]
['9942', ['dizziness']]
['9956', ['disturbance in gait']]
['9956,9980', ['disturbance in coordination']]
['10457', ['nausea']]
['10468', ['vomiting']]
['10510', ['dizziness']]
['10524', ['disturbance in gait']]
['10524,10548', ['disturbance in coordination']]
['10624', ['dizziness']]
['11021', ['somnolence']]
['11036', ['fatigue']]
['11071', ['fatigue']]
['11080', ['asthenia']]
['11090', ['malaise']]
['11099', ['hypersomnia']]
['11112', ['sedation']]
['11126', ['lethargy']]
['11357', ['somnolence']]
['11372', ['fatigue-related events']]
['11568', ['somnolence']]
['11583', ['fatigue']]
['11710', ['cognitive dysfunction']]
['11748', ['memory impairment']]
['11767', ['disturbance in attention']]
['11793', ['amnesia']]
['11802', ['confusional state']]
['11821', ['aphasia']]
['11830', ['speech disorder']]
['11847', ['slowness of thought']]
['11868', ['disorientation']]
['11888', ['psychomotor retardation']]
['12131', ['cognitive dysfunction']]
['12131', ['cognitive dysfunction']]
['12173', ['serious']]
['12347', ['cognitive dysfunction']]
['12506', ['visual changes']]
['12531', ['diplopia']]
['12541', ['blurred vision']]
['12561', ['impaired vision']]
['12735', ['eye events']]
['12735', ['eye events']]
['12751', ['serious']]
['13133', ['diplopia']]
['13355', ['visual changes']]
['13896', ['mild']]
['13896', ['mild to moderate']]
['13904', ['moderate']]
['13913', ['elevations in transaminases']]
['13943', ['3 times the upper limit of normal']]
['14009', ['elevations of total bilirubin']]
['14041', ['2 times the upper limit of normal']]
['14195', ['transaminase elevations']]
['14223', ['elevated bilirubin']]
['14327', ['severe']]
['14334', ['liver injury']]
['14542,14572', ['decreases in serum t3 free']]
['14542,14568,14572', ['decreases in serum t4 free']]
['14542,14568,14581', ['decreases in serum t4 total']]
['14542,14581', ['decreases in serum t3 total']]
['14660', ['not']]
['14686', ['abnormal thyroid function']]
['14729', ['hypothyroidism']]
