['156', ['peripheral neuropathy']]
['22172', ['interstitial lung disease']]
['22203', ['ards']]
['22219', ['fatal']]
['22374', ['toxic epidermal necrolysis']]
['22412', ['fatal']]
['23222', ['infusion reactions']]
['23314', ['infusion related reactions']]
['30', ['progressive multifocal leukoencephalopathy']]
['74', ['pml']]
['93', ['progressive multifocal leukoencephalopathy']]
['137', ['pml']]
['149', ['jc virus infection']]
['181', ['pml']]
['189', ['death']]
['195', ['can']]
['368', ['progressive multifocal leukoencephalopathy']]
['412', ['pml']]
['498', ['jc virus infection']]
['530', ['pml']]
['538', ['death']]
['544', ['can']]
['55', ['peripheral neuropathy']]
['172', ['anaphylaxis']]
['188', ['infusion reactions']]
['342', ['hematologic toxicities']]
['615', ['serious']]
['623', ['infections']]
['638', ['opportunistic infections']]
['765', ['tumor lysis syndrome']]
['883', ['hepatotoxicity']]
['952', ['pulmonary toxicity']]
['1037', ['serious']]
['1045', ['dermatologic reactions']]
['1164', ['embryo-fetal toxicity']]
['1188', ['fetal harm']]
['1199', ['can']]
['1352', ['peripheral neuropathy']]
['1352,1396', ['peripheral neuropathy sensory']]
['1414', ['peripheral motor neuropathy']]
['1484', ['peripheral neuropathy']]
['1618', ['neuropathy']]
['1764', ['neuropathy']]
['1784', ['residual neuropathy']]
['2269', ['infusion-related reactions']]
['2307', ['anaphylaxis']]
['2893', ['severe']]
['2900', ['neutropenia']]
['2916', ['grade 3']]
['2927', ['grade 4']]
['2935', ['thrombocytopenia']]
['2955', ['anemia']]
['2962', ['can']]
['2987', ['febrile neutropenia']]
['3513', ['serious']]
['3521', ['infections']]
['3536', ['opportunistic infections']]
['3569', ['pneumonia']]
['3580', ['bacteremia']]
['3596', ['sepsis']]
['3606', ['septic shock']]
['3630', ['fatal']]
['3925', ['may']]
['3953', ['tumor lysis syndrome']]
['4153', ['deaths']]
['4745', ['deaths']]
['5079', ['serious']]
['5096', ['hepatotoxicity']]
['5122', ['fatal']]
['5211', ['hepatocellular injury']]
['5244', ['elevations of transaminases']]
['5244,5279', ['elevations of bilirubin']]
['5725', ['jc virus infection']]
['5757', ['pml']]
['5765', ['death']]
['6421', ['noninfectious pulmonary toxicity']]
['6464', ['pneumonitis']]
['6477', ['interstitial lung disease']]
['6508', ['acute respiratory distress syndrome']]
['6545', ['ards']]
['6562', ['fatal']]
['6871', ['stevens-johnson syndrome']]
['6897', ['sjs']]
['6906', ['toxic epidermal necrolysis']]
['6934', ['ten']]
['6950', ['fatal']]
['7285', ['can']]
['7295', ['fetal harm']]
['7372', ['embryo-fetal toxicities']]
['7407', ['significantly']]
['7421', ['decreased embryo viability']]
['7452', ['fetal malformations']]
['7476', ['animals']]
